2026/04/12 13:30:58 main.go:26: Initializing MoE Model [Dim=256, Experts=8, K=2, Batch=256, Prefetch=4]
2026/04/12 13:30:58 main.go:48: --- 🚀 Starting Gollemer Training (Goroutine-pipelined) ---
Epoch 22200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2413 samples/sec
Epoch 22300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2413 samples/sec
Epoch 22400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2413 samples/sec
Epoch 22500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2413 samples/sec
Epoch 22600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2412 samples/sec
Epoch 22700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2412 samples/sec
Epoch 22800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2412 samples/sec
Epoch 22900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2412 samples/sec
Epoch 23000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2412 samples/sec
Epoch 23100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2411 samples/sec
Epoch 23200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2411 samples/sec
Epoch 23300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2411 samples/sec
Epoch 23400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2410 samples/sec
Epoch 23500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2410 samples/sec
Epoch 23600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2410 samples/sec
Epoch 23700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2410 samples/sec
Epoch 23800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2409 samples/sec
Epoch 23900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2409 samples/sec
Epoch 24000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2409 samples/sec
Epoch 24100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2409 samples/sec
Epoch 24200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2409 samples/sec
Epoch 24300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2409 samples/sec
Epoch 24400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2408 samples/sec
Epoch 24500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2408 samples/sec
Epoch 24600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2408 samples/sec
Epoch 24700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2408 samples/sec
Epoch 24800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2407 samples/sec
Epoch 24900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2407 samples/sec
Epoch 25000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2407 samples/sec
Epoch 25100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2407 samples/sec
Epoch 25200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2407 samples/sec
Epoch 25300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2406 samples/sec
Epoch 25400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2406 samples/sec
Epoch 25500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2406 samples/sec
Epoch 25600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2406 samples/sec
Epoch 25700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2405 samples/sec
Epoch 25800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2405 samples/sec
Epoch 25900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2405 samples/sec
Epoch 26000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2405 samples/sec
Epoch 26100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2405 samples/sec
Epoch 26200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2405 samples/sec
Epoch 26300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2404 samples/sec
Epoch 26400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2404 samples/sec
Epoch 26500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2404 samples/sec
Epoch 26600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2404 samples/sec
Epoch 26700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2404 samples/sec
Epoch 26800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2403 samples/sec
Epoch 26900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2403 samples/sec
Epoch 27000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2403 samples/sec
Epoch 27100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2403 samples/sec
Epoch 27200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2403 samples/sec
Epoch 27300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2403 samples/sec
Epoch 27400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2402 samples/sec
Epoch 27500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2402 samples/sec
Epoch 27600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2402 samples/sec
Epoch 27700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2402 samples/sec
Epoch 27800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2402 samples/sec
Epoch 27900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2402 samples/sec
Epoch 28000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2402 samples/sec
Epoch 28100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2401 samples/sec
Epoch 28200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2401 samples/sec
Epoch 28300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2401 samples/sec
Epoch 28400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2401 samples/sec
Epoch 28500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2401 samples/sec
Epoch 28600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2401 samples/sec
Epoch 28700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2401 samples/sec
Epoch 28800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2400 samples/sec
Epoch 28900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2400 samples/sec
Epoch 29000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2400 samples/sec
Epoch 29100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2400 samples/sec
Epoch 29200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2400 samples/sec
Epoch 29300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2400 samples/sec
Epoch 29400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2400 samples/sec
Epoch 29500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2399 samples/sec
